index,radical,pinyin,strokes,standard_or_base_name,name_pinyin,common_lookup_name,common_name_pinyin,French_short,French_name_explanation,Chinese_name_source,printed_page,in_sinogram_forms,source_ids
17,亠,tóu,2,亠,tóu,京字头,jīng zì tóu,couvercle,Nom de la clé : couvercle,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
18,冫,bīng,2,两点水,liǎng diǎn shuǐ,两点水,liǎng diǎn shuǐ,glace,eau à deux points ; clé de la glace,GF0014-2009,12,[],"unicode,cfdict,gf0014"
19,冖,mì,2,秃宝盖,tū bǎo gài,秃宝盖,tū bǎo gài,couverture,toit sans point supérieur,GF0014-2009,16,[],"unicode,cfdict,gf0014"
20,凵,kǎn,2,画字框,huà zì kuàng,凶字框,xiōng zì kuàng,cadre ouvert en haut,"cadre inférieur de huà, ouvert en haut",GF0014-2009,11,[],"unicode,cfdict,gf0014"
21,卩,jié,2,单耳,dān ěr,单耳刀,dān ěr dāo,sceau,oreille simple,GF0014-2009,11,[],"unicode,cfdict,gf0014"
22,刀,dāo,2,刀,dāo,刀字旁、立刀旁,dāo zì páng 、 lì dāo páng,couteau,Nom de la clé : couteau,Unihan/CFDICT,,"[{""form"": ""刂"", ""display_name"": ""立刀旁"", ""display_pinyin"": ""lì dāo páng"", ""GF0014_name"": ""立刀"", ""French"": ""couteau vertical"", ""printed_page"": 8}]","unicode,cfdict,gf0014"
23,力,lì,2,力,lì,力字旁,lì zì páng,force,Nom de la clé : force,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
24,又,yòu,2,又,yòu,又字旁,yòu zì páng,encore ; main droite,Nom de la clé : encore ; main droite,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
25,厶,sī,2,厶,sī,私字儿,sī zì ér,privé,Nom de la clé : privé,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
26,廴,yǐn,2,建之,jiàn zhī,建之旁,jiàn zhī páng,longue enjambée,élément de déplacement de jiàn,GF0014-2009,11,[],"unicode,cfdict,gf0014"
27,干,gān,3,干,gān,干字旁,gān zì páng,bouclier ; sec,Nom de la clé : bouclier ; sec,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
28,工,gōng,3,工,gōng,工字旁,gōng zì páng,travail,Nom de la clé : travail,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
29,土,tǔ,3,土,tǔ,提土旁,tí tǔ páng,terre,Nom de la clé : terre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
30,艹,cǎo,3,草字头,cǎo zì tóu,草字头,cǎo zì tóu,herbe,partie supérieure de cǎo ; herbe,GF0014-2009,7,[],"unicode,cfdict,gf0014"
31,寸,cùn,3,寸,cùn,寸字旁,cùn zì páng,pouce,Nom de la clé : pouce,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
32,廾,gǒng,3,弄字底,nòng zì dǐ,弄字底,nòng zì dǐ,mains jointes,partie inférieure de nòng,GF0014-2009,14,[],"unicode,cfdict,gf0014"
33,大,dà,3,大,dà,大字头,dà zì tóu,grand,Nom de la clé : grand,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
34,尢,wāng,3,尢,wāng,尤字旁,yóu zì páng,boiteux,Nom de la clé : boiteux,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
35,弋,yì,3,弋,yì,弋字旁,yì zì páng,flèche à corde,Nom de la clé : flèche à corde,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
36,小,xiǎo,3,小,xiǎo,小字头,xiǎo zì tóu,petit,Nom de la clé : petit,Unihan/CFDICT,,"[{""form"": ""⺌"", ""display_name"": ""尚字头"", ""display_pinyin"": ""shàng zì tóu"", ""GF0014_name"": ""尚字头"", ""French"": ""partie supérieure de shàng"", ""printed_page"": 17}]","unicode,cfdict,gf0014"
37,口,kǒu,3,口,kǒu,口字旁,kǒu zì páng,bouche,Nom de la clé : bouche,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
38,囗,wéi,3,囗,wéi,国字框,guó zì kuàng,enceinte,Nom de la clé : enceinte,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
39,山,shān,3,山,shān,山字旁,shān zì páng,montagne,Nom de la clé : montagne,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
40,巾,jīn,3,巾,jīn,巾字旁,jīn zì páng,étoffe,Nom de la clé : étoffe,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
41,彳,chì,3,双立人,shuāng lì rén,双人旁,shuāng rén páng,petit pas,double élément de la personne ; pas,GF0014-2009,16,[],"unicode,cfdict,gf0014"
42,彡,shān,3,彡,shān,三撇儿,sān piē ér,poils ; ornements,Nom de la clé : poils ; ornements,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
43,夕,xī,3,夕,xī,夕字旁,xī zì páng,soir,Nom de la clé : soir,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
44,夂,zhǐ,3,夂,zhǐ,折文,zhé wén,aller,Nom de la clé : aller,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
45,丬,qiáng,3,将字旁,jiāng zì páng,将字旁,jiāng zì páng,planche fendue,élément latéral de jiāng,GF0014-2009,14,[],"unicode,cfdict,gf0014"
46,广,guǎng,3,广,guǎng,广字旁,guǎng zì páng,abri,Nom de la clé : abri,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
47,门,mén,3,门,mén,门字框,mén zì kuàng,porte,Nom de la clé : porte,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
48,宀,mián,3,宀,mián,宝盖头,bǎo gài tóu,toit,Nom de la clé : toit,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
49,辶,chuò,3,走之,zǒu zhī,走之底,zǒu zhī dǐ,marche,élément du déplacement,GF0014-2009,20,[],"unicode,cfdict,gf0014"
50,彐,jì,3,雪字底,xuě zì dǐ,雪字底,xuě zì dǐ,museau,partie inférieure de xuě,GF0014-2009,18,[],"unicode,cfdict,gf0014"
51,尸,shī,3,尸,shī,尸字头,shī zì tóu,cadavre,Nom de la clé : cadavre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
52,己,jǐ,3,己,jǐ,己字旁,jǐ zì páng,soi-même,Nom de la clé : soi-même,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
53,弓,gōng,3,弓,gōng,弓字旁,gōng zì páng,arc,Nom de la clé : arc,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
54,子,zǐ,3,子,zǐ,子字旁,zǐ zì páng,enfant,Nom de la clé : enfant,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
55,屮,chè,3,屮,chè,屮字旁,chè zì páng,pousse,Nom de la clé : pousse,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
56,女,nǚ,3,女,nǚ,女字旁,nǚ zì páng,femme,Nom de la clé : femme,Unihan/CFDICT,,"[{""form"": ""女"", ""display_name"": ""女字旁"", ""display_pinyin"": ""nǚ zì páng"", ""GF0014_name"": ""女"", ""French"": ""femme à gauche ; troisième trait relevé"", ""printed_page"": 14}]","unicode,cfdict,gf0014"
57,飞,fēi,3,飞,fēi,飞字旁,fēi zì páng,voler,Nom de la clé : voler,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
58,马,mǎ,3,马,mǎ,马字旁,mǎ zì páng,cheval,Nom de la clé : cheval,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
59,幺,yāo,3,幼字旁,yòu zì páng,幺字旁,yāo zì páng,fil ténu,élément latéral de yòu,GF0014-2009,18,[],"unicode,cfdict,gf0014"
60,巛,chuān,3,巡字心,xún zì xīn,三拐儿,sān guǎi ér,rivière,élément central de xún,GF0014-2009,8,[],"unicode,cfdict,gf0014"
61,王,wáng,4,王,wáng,王字旁、斜玉旁,wáng zì páng 、 xié yù páng,jade (clé) ; roi,Nom de la clé : jade (clé) ; roi,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
62,无,wú,4,无,wú,无字旁,wú zì páng,absence,Nom de la clé : absence,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
63,韦,wéi,4,韦,wéi,韦字旁,wéi zì páng,cuir souple,Nom de la clé : cuir souple,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
64,木,mù,4,木,mù,木字旁,mù zì páng,bois,Nom de la clé : bois,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
65,支,zhī,4,支,zhī,支字旁,zhī zì páng,branche,Nom de la clé : branche,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
66,犬,quǎn,4,犬,quǎn,犬字旁、反犬旁,quǎn zì páng 、 fǎn quǎn páng,chien,Nom de la clé : chien,Unihan/CFDICT,,"[{""form"": ""犭"", ""display_name"": ""反犬旁"", ""display_pinyin"": ""fǎn quǎn páng"", ""GF0014_name"": ""反犬旁"", ""French"": ""chien à gauche"", ""printed_page"": 14}]","unicode,cfdict,gf0014"
67,歹,dǎi,4,歹,dǎi,歹字旁,dǎi zì páng,mort ; mauvais,Nom de la clé : mort ; mauvais,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
68,车,chē,4,车,chē,车字旁,chē zì páng,véhicule,Nom de la clé : véhicule,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
69,牙,yá,4,牙,yá,牙字旁,yá zì páng,dent,Nom de la clé : dent,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
70,戈,gē,4,戈,gē,戈字旁,gē zì páng,hallebarde,Nom de la clé : hallebarde,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
71,比,bǐ,4,比,bǐ,比字旁,bǐ zì páng,comparer,Nom de la clé : comparer,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
72,瓦,wǎ,4,瓦,wǎ,瓦字旁,wǎ zì páng,tuile,Nom de la clé : tuile,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
73,止,zhǐ,4,止,zhǐ,止字旁,zhǐ zì páng,s’arrêter,Nom de la clé : s’arrêter,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
74,攴,pū,4,敲字边,qiāo zì biān,攴字旁、反文旁,pū zì páng 、 fǎn wén páng,frapper,élément droit de qiāo,GF0014-2009,9,"[{""form"": ""攵"", ""display_name"": ""反文旁"", ""display_pinyin"": ""fǎn wén páng"", ""GF0014_name"": ""反文"", ""French"": ""élément de frappe"", ""printed_page"": 9}]","unicode,cfdict,gf0014"
75,日,rì,4,日,rì,日字旁,rì zì páng,soleil,Nom de la clé : soleil,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
76,贝,bèi,4,贝,bèi,贝字旁,bèi zì páng,coquillage,Nom de la clé : coquillage,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
77,水,shuǐ,4,水,shuǐ,水字旁、三点水,shuǐ zì páng 、 sān diǎn shuǐ,eau,Nom de la clé : eau,Unihan/CFDICT,,"[{""form"": ""氵"", ""display_name"": ""三点水"", ""display_pinyin"": ""sān diǎn shuǐ"", ""GF0014_name"": ""三点水"", ""French"": ""eau à trois points"", ""printed_page"": 16}, {""form"": ""氺"", ""display_name"": ""水字底"", ""display_pinyin"": ""shuǐ zì dǐ"", ""GF0014_name"": ""水底"", ""French"": ""eau en bas"", ""printed_page"": 16}]","unicode,cfdict,gf0014"
78,见,jiàn,4,见,jiàn,见字旁,jiàn zì páng,voir,Nom de la clé : voir,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
79,牛,niú,4,牛,niú,牛字旁,niú zì páng,bœuf,Nom de la clé : bœuf,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
80,手,shǒu,4,手,shǒu,手字旁、提手旁,shǒu zì páng 、 tí shǒu páng,main,Nom de la clé : main,Unihan/CFDICT,,"[{""form"": ""扌"", ""display_name"": ""提手旁"", ""display_pinyin"": ""tí shǒu páng"", ""GF0014_name"": ""提手"", ""French"": ""main à gauche"", ""printed_page"": 16}]","unicode,cfdict,gf0014"
81,气,qì,4,气,qì,气字头,qì zì tóu,souffle,Nom de la clé : souffle,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
82,毛,máo,4,毛,máo,毛字旁,máo zì páng,poil,Nom de la clé : poil,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
83,长,cháng,4,长,cháng,长字旁,cháng zì páng,long,Nom de la clé : long,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
84,片,piàn,4,片,piàn,片字旁,piàn zì páng,tranche,Nom de la clé : tranche,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
85,斤,jīn,4,斤,jīn,斤字旁,jīn zì páng,hache,Nom de la clé : hache,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
86,爪,zhǎo,4,爪,zhǎo,爪字头,zhǎo zì tóu,griffe,Nom de la clé : griffe,Unihan/CFDICT,,"[{""form"": ""爫"", ""display_name"": ""爪字头"", ""display_pinyin"": ""zhǎo zì tóu"", ""GF0014_name"": ""爪头"", ""French"": ""griffe en haut"", ""printed_page"": 20}]","unicode,cfdict,gf0014"
87,父,fù,4,父,fù,父字头,fù zì tóu,père,Nom de la clé : père,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
88,月,yuè,4,月,yuè,月字旁,yuè zì páng,lune,Nom de la clé : lune,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
89,氏,shì,4,氏,shì,氏字旁,shì zì páng,clan,Nom de la clé : clan,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
90,欠,qiàn,4,欠,qiàn,欠字旁,qiàn zì páng,bâiller ; manquer,Nom de la clé : bâiller ; manquer,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
91,风,fēng,4,风,fēng,风字旁,fēng zì páng,vent,Nom de la clé : vent,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
92,殳,shū,4,殳,shū,殳字旁,shū zì páng,arme à hampe,Nom de la clé : arme à hampe,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
93,文,wén,4,文,wén,文字旁,wén zì páng,écriture,Nom de la clé : écriture,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
94,方,fāng,4,方,fāng,方字旁,fāng zì páng,carré ; direction,Nom de la clé : carré ; direction,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
95,火,huǒ,4,火,huǒ,火字旁、四点底,huǒ zì páng 、 sì diǎn dǐ,feu,Nom de la clé : feu,Unihan/CFDICT,,"[{""form"": ""灬"", ""display_name"": ""四点底"", ""display_pinyin"": ""sì diǎn dǐ"", ""GF0014_name"": ""横四点"", ""French"": ""quatre points horizontaux ; feu"", ""printed_page"": 11}]","unicode,cfdict,gf0014"
96,斗,dǒu,4,斗,dǒu,斗字旁,dǒu zì páng,boisseau,Nom de la clé : boisseau,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
97,户,hù,4,户,hù,户字头,hù zì tóu,porte,Nom de la clé : porte,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
98,心,xīn,4,心,xīn,心字底、竖心旁,xīn zì dǐ 、 shù xīn páng,cœur,Nom de la clé : cœur,Unihan/CFDICT,,"[{""form"": ""忄"", ""display_name"": ""竖心旁"", ""display_pinyin"": ""shù xīn páng"", ""GF0014_name"": ""竖心"", ""French"": ""cœur vertical"", ""printed_page"": 18}, {""form"": ""⺗"", ""display_name"": ""恭字底"", ""display_pinyin"": ""gōng zì dǐ"", ""GF0014_name"": ""恭字底"", ""French"": ""partie inférieure de gōng"", ""printed_page"": 18}]","unicode,cfdict,gf0014"
99,毋,wú,4,毋,wú,毋字旁,wú zì páng,ne pas,Nom de la clé : ne pas,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
100,示,shì,5,示,shì,示字旁,shì zì páng,autel ; montrer,Nom de la clé : autel ; montrer,Unihan/CFDICT,,"[{""form"": ""礻"", ""display_name"": ""示字旁"", ""display_pinyin"": ""shì zì páng"", ""GF0014_name"": ""示旁"", ""French"": ""autel à gauche"", ""printed_page"": 15}]","unicode,cfdict,gf0014"
101,甘,gān,5,甘,gān,甘字旁,gān zì páng,doux,Nom de la clé : doux,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
102,石,shí,5,石,shí,石字旁,shí zì páng,pierre,Nom de la clé : pierre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
103,龙,lóng,5,龙,lóng,龙字旁,lóng zì páng,dragon,Nom de la clé : dragon,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
104,业,yè,5,业,yè,业字旁,yè zì páng,activité,Nom de la clé : activité,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
105,目,mù,5,目,mù,目字旁,mù zì páng,œil,Nom de la clé : œil,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
106,田,tián,5,田,tián,田字旁,tián zì páng,champ,Nom de la clé : champ,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
107,罒,wǎng,5,罗字头,luó zì tóu,四字头,sì zì tóu,filet,partie supérieure de luó ; filet,GF0014-2009,13,[],"unicode,cfdict,gf0014"
108,皿,mǐn,5,皿,mǐn,皿字底,mǐn zì dǐ,récipient,Nom de la clé : récipient,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
109,生,shēng,5,生,shēng,生字旁,shēng zì páng,naître,Nom de la clé : naître,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
110,矢,shǐ,5,矢,shǐ,矢字旁,shǐ zì páng,flèche,Nom de la clé : flèche,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
111,禾,hé,5,禾,hé,禾木旁,hé mù páng,céréale,Nom de la clé : céréale,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
112,白,bái,5,白,bái,白字旁,bái zì páng,blanc,Nom de la clé : blanc,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
113,瓜,guā,5,瓜,guā,瓜字旁,guā zì páng,melon,Nom de la clé : melon,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
114,鸟,niǎo,5,鸟,niǎo,鸟字旁,niǎo zì páng,oiseau,Nom de la clé : oiseau,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
115,疒,nè,5,病字框,bìng zì kuàng,病字旁,bìng zì páng,maladie,cadre de bìng ; maladie,GF0014-2009,7,[],"unicode,cfdict,gf0014"
116,立,lì,5,立,lì,立字旁,lì zì páng,debout,Nom de la clé : debout,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
117,穴,xué,5,穴,xué,穴宝盖,xué bǎo gài,grotte,Nom de la clé : grotte,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
118,疋,pǐ,5,疋,pǐ,疋字旁,pǐ zì páng,rouleau d’étoffe,Nom de la clé : rouleau d’étoffe,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
119,皮,pí,5,皮,pí,皮字旁,pí zì páng,peau,Nom de la clé : peau,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
120,癶,bō,5,登字头,dēng zì tóu,登字头,dēng zì tóu,pieds écartés,partie supérieure de dēng,GF0014-2009,8,[],"unicode,cfdict,gf0014"
121,矛,máo,5,矛,máo,矛字旁,máo zì páng,lance,Nom de la clé : lance,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
122,耒,lěi,6,耒,lěi,耒字旁,lěi zì páng,charrue,Nom de la clé : charrue,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
123,老,lǎo,6,老,lǎo,老字头,lǎo zì tóu,vieux,Nom de la clé : vieux,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
124,耳,ěr,6,耳,ěr,耳字旁,ěr zì páng,oreille,Nom de la clé : oreille,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
125,臣,chén,6,臣,chén,臣字旁,chén zì páng,ministre,Nom de la clé : ministre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
126,覀,xī,6,要字头,yào zì tóu,西字头,xī zì tóu,couverture,partie supérieure de yào,GF0014-2009,17,[],"unicode,cfdict,gf0014"
127,而,ér,6,而,ér,而字旁,ér zì páng,barbe ; et,Nom de la clé : barbe ; et,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
128,页,yè,6,页,yè,页字旁,yè zì páng,tête (clé) ; page,Nom de la clé : tête (clé) ; page,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
129,至,zhì,6,至,zhì,至字旁,zhì zì páng,atteindre,Nom de la clé : atteindre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
130,虍,hū,6,虎字头,hǔ zì tóu,虎字头,hǔ zì tóu,tigre,partie supérieure de hǔ,GF0014-2009,10,[],"unicode,cfdict,gf0014"
131,虫,chóng,6,虫,chóng,虫字旁,chóng zì páng,insecte,Nom de la clé : insecte,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
132,肉,ròu,6,肉,ròu,肉月旁,ròu yuè páng,chair,Nom de la clé : chair,Unihan/CFDICT,,"[{""form"": ""月"", ""display_name"": ""肉月旁"", ""display_pinyin"": ""ròu yuè páng"", ""GF0014_name"": ""肉月"", ""French"": ""chair en forme de lune"", ""printed_page"": 19}]","unicode,cfdict,gf0014"
133,缶,fǒu,6,缶,fǒu,缶字旁,fǒu zì páng,jarre,Nom de la clé : jarre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
134,舌,shé,6,舌,shé,舌字旁,shé zì páng,langue,Nom de la clé : langue,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
135,竹,zhú,6,竹,zhú,竹字头,zhú zì tóu,bambou,Nom de la clé : bambou,Unihan/CFDICT,,"[{""form"": ""⺮"", ""display_name"": ""竹字头"", ""display_pinyin"": ""zhú zì tóu"", ""GF0014_name"": ""竹头"", ""French"": ""bambou en haut"", ""printed_page"": 20}]","unicode,cfdict,gf0014"
136,臼,jiù,6,臼,jiù,臼字旁,jiù zì páng,mortier,Nom de la clé : mortier,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
137,自,zì,6,自,zì,自字旁,zì zì páng,soi-même,Nom de la clé : soi-même,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
138,血,xuè,6,血,xuè,血字旁,xuè zì páng,sang,Nom de la clé : sang,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
139,舟,zhōu,6,舟,zhōu,舟字旁,zhōu zì páng,bateau,Nom de la clé : bateau,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
140,色,sè,6,色,sè,色字旁,sè zì páng,couleur,Nom de la clé : couleur,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
141,齐,qí,6,齐,qí,齐字旁,qí zì páng,égal,Nom de la clé : égal,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
142,衣,yī,6,衣,yī,衣字旁,yī zì páng,vêtement,Nom de la clé : vêtement,Unihan/CFDICT,,"[{""form"": ""衤"", ""display_name"": ""衣字旁"", ""display_pinyin"": ""yī zì páng"", ""GF0014_name"": ""衣旁"", ""French"": ""vêtement à gauche"", ""printed_page"": 18}]","unicode,cfdict,gf0014"
143,羊,yáng,6,羊,yáng,羊字旁,yáng zì páng,mouton,Nom de la clé : mouton,Unihan/CFDICT,,"[{""form"": ""⺷"", ""display_name"": ""美字头"", ""display_pinyin"": ""měi zì tóu"", ""GF0014_name"": ""美字头"", ""French"": ""partie supérieure de měi"", ""printed_page"": 18}]","unicode,cfdict,gf0014"
144,米,mǐ,6,米,mǐ,米字旁,mǐ zì páng,riz,Nom de la clé : riz,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
145,聿,yù,6,律字边,lǜ zì biān,聿字旁,yù zì páng,pinceau,élément droit de lǜ,GF0014-2009,19,[],"unicode,cfdict,gf0014"
146,艮,gèn,6,艮,gèn,艮字旁,gèn zì páng,arrêt,Nom de la clé : arrêt,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
147,羽,yǔ,6,羽,yǔ,羽字旁,yǔ zì páng,plume,Nom de la clé : plume,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
148,糸,mì,6,糸,mì,绞丝旁,jiǎo sī páng,soie ; fil,Nom de la clé : soie ; fil,Unihan/CFDICT,,"[{""form"": ""纟"", ""display_name"": ""绞丝旁"", ""display_pinyin"": ""jiǎo sī páng"", ""GF0014_name"": ""绞丝旁"", ""French"": ""fil de soie à gauche"", ""printed_page"": 11}]","unicode,cfdict,gf0014"
149,麦,mài,7,麦,mài,麦字旁,mài zì páng,blé,Nom de la clé : blé,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
150,走,zǒu,7,走,zǒu,走字旁,zǒu zì páng,marcher,Nom de la clé : marcher,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
151,赤,chì,7,赤,chì,赤字旁,chì zì páng,rouge,Nom de la clé : rouge,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
